variant_id,variant_type,n_images,annotation_quality,sharpness,clip_diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v68_blur3_k6,blur,89,0.786,0.2187,0.4421,0.3887,0.8188,0.9065,0.5807675192333135,0.4342279350885812,50,200.6
v69_blur3_k8,blur,89,0.8032,0.1727,0.4275,0.4433,0.7853,0.9296,0.5686159859325167,0.4142881641721462,50,202.0
v70_blur3_k12,blur,89,0.789,0.1144,0.4023,0.4894,0.8401,0.9342,0.5328257332362264,0.38265269079228337,50,202.8
v71_blur3_k14,blur,89,0.806,0.0994,0.3942,0.4671,0.8309,0.9279,0.541175785388468,0.3926763853012613,50,202.2
v72_blur3_k17,blur,89,0.8,0.0887,0.3802,0.5188,0.8136,0.9343,0.49245865796778815,0.3441943501575911,50,201.2
v73_blur3_k20,blur,89,0.7913,0.0762,0.3495,0.4703,0.809,0.9189,0.4135172710187875,0.30663158676819663,50,199.7
v74_blur3_k28,blur,89,0.8254,0.0646,0.3334,0.3824,0.803,0.9285,0.26628884919497403,0.17912160291904125,50,199.6
v75_blur3_k34,blur,89,0.803,0.06,0.3029,0.3887,0.8279,0.915,0.23394430187485807,0.16729540739896476,50,206.2
v76_blur3_k38,blur,89,0.7795,0.0586,0.2895,0.5188,0.8316,0.9206,0.14993932998383222,0.09908636077120563,50,204.0
v77_blur3_k45,blur,89,0.8021,0.0566,0.2661,0.5188,0.8563,0.9168,0.11954505510243632,0.07875978577224244,50,200.6
v78_blur3_k51,blur,89,0.8181,0.0559,0.245,0.5422,0.8448,0.9234,0.04022733538386995,0.022230500149603646,50,202.2
v79_blur3_k55,blur,89,0.8235,0.0559,0.237,0.4703,0.8549,0.9275,0.0644559188721192,0.04269198607089965,50,200.2
v80_blur3_k61,blur,89,0.7978,0.0551,0.2227,0.418,0.8228,0.9281,0.05825405738651202,0.03861691884058549,50,199.6
v81_bright3_5,brightness,76,0.8053,0.0605,0.2314,0.0,0.8279,0.9437,0.055570980379025796,0.03694513782214428,50,182.7
v82_bright3_8,brightness,76,0.8058,0.0831,0.2898,0.0,0.8194,0.9278,0.205863948289452,0.1434079396831155,50,181.7
v83_bright3_12,brightness,76,0.7927,0.1231,0.349,0.0,0.8272,0.9155,0.3218607049829425,0.22799649743023837,50,182.2
v84_bright3_18,brightness,76,0.781,0.1609,0.3863,0.0,0.8354,0.9328,0.4523072240661164,0.3239789503882365,50,185.4
v85_bright3_110,brightness,76,0.7945,0.469,0.4928,0.522,0.8459,0.918,0.5608036083540486,0.4201743968809832,50,183.7
v86_bright3_130,brightness,76,0.8048,0.451,0.4817,0.7856,0.8398,0.9261,0.5640629974973842,0.4182604502249548,50,180.3
v87_bright3_160,brightness,76,0.8247,0.4509,0.4727,0.66,0.8062,0.9172,0.5764054382733678,0.4139974886445014,50,181.1
v88_bright3_200,brightness,76,0.7972,0.4131,0.4414,0.4778,0.7971,0.9464,0.5265167637028677,0.3781278208585654,50,181.2
v89_blur_dark_mild,combined,76,0.7816,0.1611,0.4356,0.6052,0.8163,0.9144,0.5293772870225905,0.38546349864095075,50,182.0
v90_blur_dark_mod,combined,76,0.8024,0.0679,0.3601,0.2514,0.8443,0.91,0.41959210330994906,0.3068129583759227,50,182.2
v91_blur_dark_heavy,combined,76,0.8473,0.0492,0.2688,0.0,0.8263,0.9274,0.1582343509179502,0.11268749448336558,50,188.1
v92_noise_dark_mild,combined,76,0.8168,0.4687,0.4833,0.558,0.8244,0.8962,0.5534811531354463,0.4100671097420697,50,182.1
v93_noise_dark_mod,combined,76,0.8055,0.4293,0.4611,0.2208,0.8378,0.9274,0.4977601312540604,0.3631576268069344,50,181.5
v94_noise_blur_mild,combined,76,0.7725,0.325,0.4454,0.4671,0.8185,0.9449,0.5598247035003746,0.4026663047495028,50,179.9
v95_noise_blur_mod,combined,76,0.8133,0.1459,0.3921,0.435,0.8141,0.9345,0.5154901858950947,0.3739271037446116,50,181.2
v96_noise_blur_heavy,combined,76,0.7812,0.0784,0.3366,0.4671,0.8161,0.9127,0.4314962576229617,0.324968451650991,50,186.4
